Anon Student Id,Session Id,Time,Duration sec,Student Response Type,Student Response Subtype,Tutor Response Type,Tutor Response Subtype,Level Unit,Problem View,Problem Start Time,Attempt At Step,Outcome
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45296,12,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,1,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45307,9,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,1,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.4536,46,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,2,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45361,1,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,2,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45365,1.5,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,3,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45365,1.5,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,4,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45366,0.5,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,3,INCORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45366,0.5,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,4,CORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45376,3,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,5,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45376,3,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,6,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45376,3,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,5,INCORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45377,1,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,6,CORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45392,3.25,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,7,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45392,3.25,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,8,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45392,3.25,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,7,INCORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45392,3.25,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,8,CORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45412,8.5,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,9,INCORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45413,1,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,10,CORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45414,1,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,11,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45418,0.75,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,12,UNGRADED
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45418,0.75,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,13,INCORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45418,0.75,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,14,CORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45419,0.5,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,15,INCORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45419,0.5,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,16,CORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45419,0,ATTEMPT,Student,RESULT,Logged Only,simStSession,1,41650.45282,1,INCORRECT
Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45419,0,HINT_REQUEST,,HINT_MSG,,simStSession,1,41650.45282,1,UNGRADED
